Name: 汕头经济, URL: http://119.134.111.179:8888/rtp/239.253.43.43:5146$广东电信组播源, Date: 2024-12-29, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://113.75.181.88:2086/rtp/239.253.43.43:5146$广东电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://113.100.173.17:8888/udp/239.77.1.131:5146$订阅源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头经济, URL: http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=ed8811&tk=822270345d4c$订阅源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://120.77.205.62:8087/rtp/239.253.43.44:5146$组播源, Date: None, Delay: 206 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://113.65.9.224:4013/rtp/239.253.43.44:5146$广东电信组播源, Date: 2024-12-28, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://14.19.168.64:4022/rtp/239.253.43.44:5146$广东电信组播源, Date: 2024-12-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://61.145.208.25:9090/rtp/239.253.43.44:5146$广东电信组播源, Date: 2024-12-29, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://113.93.55.81:5555/rtp/239.253.43.44:5146$广东电信组播源, Date: 2025-01-03, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://125.89.163.44:8888/rtp/239.253.43.44:5146$广东电信组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://113.65.9.20:4016/rtp/239.253.43.44:5146$广东电信组播源, Date: 2024-12-27, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://183.33.57.62:8686/rtp/239.253.43.44:5146$广东电信组播源, Date: 2025-01-03, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://113.111.17.249:8888/rtp/239.253.43.44:5146$广东电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://113.111.21.17:8888/rtp/239.253.43.44:5146$广东电信组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://113.90.47.13:8888/rtp/239.253.43.44:5146$广东电信组播源, Date: 2025-01-06, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://14.112.86.85:4022/rtp/239.253.43.44:5146$广东电信组播源, Date: 2024-12-29, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://14.145.225.183:8888/rtp/239.253.43.44:5146$广东电信组播源, Date: 2024-12-21, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://119.134.111.179:8888/rtp/239.253.43.44:5146$广东电信组播源, Date: 2024-12-29, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://113.75.181.88:2086/rtp/239.253.43.44:5146$广东电信组播源, Date: 2025-01-05, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7bfe50&tk=822270345d4c$订阅源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 汕头文旅, URL: http://113.100.173.17:8888/udp/239.77.1.132:5146$订阅源, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 凤凰卫视, URL: https://k44991.kylintv.tv/live/pxna_iphone.m3u8$订阅源, Date: None, Delay: 102 ms, Speed: 11.24 M/s, Resolution: 1280x720
Name: 凤凰卫视, URL: http://218.202.220.2:5000/nn_live.ts?id=NEWSASIA$订阅源, Date: None, Delay: 413 ms, Speed: 0.67 M/s, Resolution: 720x576
Name: 凤凰卫视, URL: http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&amp;wsIPSercert=8de23d0849e78e3b16ec92a2092354$订阅源, Date: None, Delay: 10 ms, Speed: 0.05 M/s, Resolution: 720x576
Name: 凤凰卫视, URL: https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&amp;amp;wsIPSercert=8de23d0849e78e3b16ec92a2092354$订阅源, Date: None, Delay: 16 ms, Speed: 0.03 M/s, Resolution: 720x576
